Term|Code|SemanticType
liver enzymes|C0443764|Amino Acid, Peptide, or Protein
hepatitis c chronic|C0524910|Disease or Syndrome
duct|C1705650|Medical Device
human papillomavirus|C0375016|Disease or Syndrome
deep vein thrombosis|C0149871|Disease or Syndrome
fasting|C0015663|Finding
erythropoiesis stimulating agents|C1959590|Pharmacologic Substance
intubation|C0021925|Therapeutic or Preventive Procedure
preeclampsia|C0032914|Pathologic Function
fingers swelling|C0239598|Finding
bone mineral density|C0177804|Diagnostic Procedure
phalen test positive|C0576714|Finding
nasopharyngitis|C0027441|Disease or Syndrome
absence of nail|C0600021|Finding
lung nodules|C0034079|Finding
adalimumab|C1122087|Pharmacologic Substance
vomiting|C0042963|Sign or Symptom
feel warm|C0582051|Finding
degenerative joint disease|C0029408|Disease or Syndrome
attenuated vaccine|C0042211|Pharmacologic Substance
comfortable|C2364319|Finding
acute inflammation|C0333361|Finding
limitation of motion|C0231442|Finding
tobacco use|C0543414|Individual Behavior
mycoplasma|C0026936|Disease or Syndrome
electromyography|C0013839|Diagnostic Procedure
bronchiolitis obliterans organizing pneumonia|C0242770|Disease or Syndrome
belimumab|C1723401|Amino Acid, Peptide, or Protein
personal hygiene|C0564673|Individual Behavior
minocycline|C0026187|Antibiotic
hormone|C0019932|Hormone
flexor tenosynovitis|C0744058|Disease or Syndrome
fatty acid|C0015684|Lipid
obstetric monitoring|C0431015|Therapeutic or Preventive Procedure
source|C0449416|Finding
neuropathy|C0442874|Disease or Syndrome
smoking cigarettes|C0337667|Finding
proliferative synovitis|C0263949|Disease or Syndrome
negative test result|C1334932|Finding
nonopioid analgesics|C0242937|Pharmacologic Substance
shift|C2347509|Phenomenon or Process
hypertrophic pulmonary osteoarthropathy|C0029412|Disease or Syndrome
therapeutic intervention|C0808232|Therapeutic or Preventive Procedure
hepatitis|C0019158|Disease or Syndrome
autoimmunity|C0004368|Pathologic Function
pulmonary toxicity|C0919924|Pathologic Function
measles|C0025007|Disease or Syndrome
deep heat|C0621652|Pharmacologic Substance
ears problems|C0262174|Finding
adverse events|C0877248|Finding
naproxen|C0027396|Pharmacologic Substance
liver function test|C0023901|Laboratory Procedure
deep venous thrombosis|C0149871|Disease or Syndrome
polyarthritis|C0162323|Disease or Syndrome
renal function|C0022662|Laboratory Procedure
bony ankylosis|C0332790|Acquired Abnormality
thinning skin|C0423757|Finding
peptides|C0030956|Amino Acid, Peptide, or Protein
sulfasalazine|C0036078|Pharmacologic Substance
polymyalgia rheumatica|C0032533|Disease or Syndrome
cartilage damage|C0549421|Injury or Poisoning
tuberculosis infection|C0041296|Disease or Syndrome
cyclophosphamide|C0010583|Pharmacologic Substance
plate|C1139930|Medical Device
sulindac|C0038792|Pharmacologic Substance
rheumatoid nodules|C0035450|Pathologic Function
hypertension risk|C0559060|Finding
muscle mass|C0240417|Finding
joints symptoms|C1398659|Sign or Symptom
pseudogout|C0033802|Disease or Syndrome
hbsag|C0019168|Immunologic Factor
severe progression|C1842993|Finding
painful joints|C0003862|Sign or Symptom
nuclear antigen|C0069115|Immunologic Factor
arthrodesis|C0003881|Therapeutic or Preventive Procedure
episcleritis|C0014583|Disease or Syndrome
tumor necrosis factor|C0041368|Amino Acid, Peptide, or Protein
blood filtering|C0180863|Medical Device
antimalarial agents|C0003374|Pharmacologic Substance
hepatitis b core antibody positive|C0262506|Laboratory or Test Result
folic acid 1 mg|C0986175|Clinical Drug
interleukin|C0021764|Amino Acid, Peptide, or Protein
fusions joint|C0003881|Therapeutic or Preventive Procedure
mutated citrullinated vimentin|C2599880|Amino Acid, Peptide, or Protein
still's disease - juvenile rheumatoid arthritis|C0087031|Disease or Syndrome
turmeric|C0077524|Pharmacologic Substance
other symptoms|C3257980|Sign or Symptom
gi bleeding|C0017181|Pathologic Function
joint inflammation|C0003864|Disease or Syndrome
syphilis|C0039128|Disease or Syndrome
immune complex|C0003313|Amino Acid, Peptide, or Protein
lung inflammation|C0032285|Disease or Syndrome
employed|C0557351|Finding
bone edema|C2609134|Finding
education|C0013658|Finding
hla drb1|C0122040|Amino Acid, Peptide, or Protein
sustained release|C1710261|Biomedical or Dental Material
latent tb|C1609538|Disease or Syndrome
joint disease|C0022408|Disease or Syndrome
reconstructions|C0524865|Therapeutic or Preventive Procedure
cerebellar signs|C0742038|Finding
neurologic disorders|C0027765|Disease or Syndrome
aids|C0001175|Disease or Syndrome
early therapy|C3177188|Therapeutic or Preventive Procedure
rheumatic fever|C0035436|Disease or Syndrome
abdominal pain|C0000737|Sign or Symptom
intravenous infusion|C0021440|Therapeutic or Preventive Procedure
leflunomide|C0063041|Pharmacologic Substance
malaise generalized|C0231218|Sign or Symptom
autoimmune disorder|C0004364|Disease or Syndrome
fall risk|C1268740|Finding
gm csf|C0079460|Amino Acid, Peptide, or Protein
antinuclear antibody|C0003243|Amino Acid, Peptide, or Protein
periarticular osteoporosis|C1859694|Finding
liver|C0023899|Pharmacologic Substance
transport|C1704649|Medical Device
janus kinase|C0597721|Amino Acid, Peptide, or Protein
hepatitis vaccinations|C0419735|Therapeutic or Preventive Procedure
cold therapies|C0010412|Therapeutic or Preventive Procedure
ulcer|C0041582|Pathologic Function
physical therapy|C0949766|Therapeutic or Preventive Procedure
paresthesia|C0030554|Sign or Symptom
rheumatoid factor positive|C0151379|Laboratory or Test Result
leukocytes increased|C0750426|Finding
keyhole limpet hemocyanin|C0064332|Biologically Active Substance
swelling bone|C1096081|Sign or Symptom
neutral|C2825492|Phenomenon or Process
adverse reaction|C0559546|Finding
uveitis|C0042164|Disease or Syndrome
health conditions|C2707292|Finding
morning stiffness|C0457086|Finding
rheumatoid arthritis|C0003873|Disease or Syndrome
enlarged liver|C0019209|Sign or Symptom
hyperextension|C0231451|Sign or Symptom
matrix metalloproteinases|C0623362|Amino Acid, Peptide, or Protein
culture|C0430400|Laboratory Procedure
neck manipulation|C0600576|Therapeutic or Preventive Procedure
etodolac|C0059865|Pharmacologic Substance
omega 3|C0015689|Biologically Active Substance
proteinuria|C0033687|Finding
antibodies specific|C0443640|Amino Acid, Peptide, or Protein
infliximab|C0666743|Amino Acid, Peptide, or Protein
heat therapy|C0150611|Therapeutic or Preventive Procedure
stiffness|C0427008|Sign or Symptom
asthma|C0004096|Disease or Syndrome
peptic ulcer disease|C0030920|Disease or Syndrome
asymmetric involvement|C1840538|Finding
ovarian carcinoma|C0029925|Neoplastic Process
iritis|C0022081|Disease or Syndrome
mucosal lesions|C2673622|Finding
paraneoplastic syndromes|C0030472|Neoplastic Process
prednisone intensol|C1615728|Pharmacologic Substance
ketoprofen|C0022635|Pharmacologic Substance
hepatitis c|C0019196|Disease or Syndrome
demyelinating disorders|C0011303|Disease or Syndrome
females|C0015780|Finding
latent tuberculosis infection|C1609538|Disease or Syndrome
muscle pain|C0231528|Sign or Symptom
orthoses|C0029365|Medical Device
function muscles|C0517929|Finding
other elements|C2924497|Laboratory Procedure
renal toxicity|C0595916|Disease or Syndrome
medication effects|C1319171|Finding
kidney function tests|C0022662|Laboratory Procedure
ulceration|C0041582|Pathologic Function
knee replacement|C0086511|Therapeutic or Preventive Procedure
dry eyes|C0314719|Sign or Symptom
experimental therapies|C0949266|Therapeutic or Preventive Procedure
infection|C0009450|Disease or Syndrome
medications therapy|C0013216|Therapeutic or Preventive Procedure
relieve pain|C0722425|Pharmacologic Substance
serological tests|C0036743|Laboratory Procedure
folate antagonist|C0016411|Pharmacologic Substance
assistive equipment|C0036605|Medical Device
abnormal transaminase levels|C0850712|Finding
atrial fibrillation|C0004238|Pathologic Function
hammer toe|C1136179|Anatomical Abnormality
heel pads|C2014453|Medical Device
inflammation of the tendon sheath|C0039520|Disease or Syndrome
cervical spine injury|C0432666|Injury or Poisoning
water retention|C0542203|Finding
leukopenia|C0023530|Disease or Syndrome
injury|C0175677|Injury or Poisoning
bone scanning|C0203668|Diagnostic Procedure
crutch use|C0204005|Therapeutic or Preventive Procedure
delayed release|C1707664|Biomedical or Dental Material
hepatitis b surface antigen positive|C0149709|Laboratory or Test Result
localized inflammation|C0522570|Finding
hypochromic anemia|C0002884|Disease or Syndrome
hbsag negative|C0919711|Laboratory or Test Result
eye burning|C0234655|Sign or Symptom
carpal tunnel|C0007286|Disease or Syndrome
fibromyalgia|C0016053|Disease or Syndrome
bleeding|C0019080|Pathologic Function
cardiovascular morbidity|C1301700|Disease or Syndrome
ctla 4|C0111208|Amino Acid, Peptide, or Protein
pyogenic arthritis|C1692886|Disease or Syndrome
result|C2825142|Finding
chills and fever|C0085594|Sign or Symptom
lymphotoxin|C0024320|Amino Acid, Peptide, or Protein
chronic lyme disease|C2063079|Disease or Syndrome
effect medications|C1319171|Finding
esters|C0014898|Organic Chemical
osteoporosis|C0029456|Disease or Syndrome
fc receptor|C0034805|Receptor
shoulder replacement|C0186623|Therapeutic or Preventive Procedure
disability|C0231170|Finding
thomas test|C1306619|Diagnostic Procedure
history of - liver disease|C0455550|Finding
presence of crystals|C0729639|Laboratory or Test Result
ocular toxicity|C1262036|Injury or Poisoning
mechanical arthritis|C0221567|Finding
fear of falling|C0877040|Sign or Symptom
pyoderma gangrenosum|C0085652|Disease or Syndrome
coping|C0009967|Individual Behavior
chest radiography|C0039985|Diagnostic Procedure
infiltration|C0332448|Pathologic Function
fibrous ankylosis|C0332791|Acquired Abnormality
sleep difficulties|C0235162|Sign or Symptom
rupture|C3203359|Injury or Poisoning
ofatumumab|C1832027|Pharmacologic Substance
control edema|C0150561|Therapeutic or Preventive Procedure
cigarette smoking|C0700219|Individual Behavior
chest x-ray|C0039985|Diagnostic Procedure
deformities flexion|C0333068|Anatomical Abnormality
candida albicans skin test|C0981368|Immunologic Factor
major surgery|C0679637|Therapeutic or Preventive Procedure
radiography|C1962945|Diagnostic Procedure
cervical spine abnormalities|C1852464|Finding
sweet's syndrome|C0085077|Disease or Syndrome
tuberculin skin test|C0041290|Diagnostic Procedure
membranous nephropathy|C0017665|Disease or Syndrome
injection site reactions|C0151735|Pathologic Function
progression of rheumatoid arthritis|C1736175|Disease or Syndrome
nausea|C0027497|Sign or Symptom
folic acid|C0523631|Laboratory Procedure
electrical stimulation|C0013786|Therapeutic or Preventive Procedure
opportunistic infections|C0029118|Disease or Syndrome
visual impairment|C0042798|Disease or Syndrome
peripheral neuropathy|C0031117|Disease or Syndrome
muscle spasm|C0037763|Sign or Symptom
motrin ib|C0699203|Pharmacologic Substance
immunosuppression|C0021079|Therapeutic or Preventive Procedure
sore throat|C0242429|Sign or Symptom
spinal injury|C0037937|Injury or Poisoning
acute pain|C0184567|Sign or Symptom
tablet|C0039225|Biomedical or Dental Material
absence of pain|C0234225|Finding
plain radiography|C1306645|Diagnostic Procedure
suppressing|C2003921|Phenomenon or Process
immunologic factors|C0021054|Immunologic Factor
tension|C0233494|Mental or Behavioral Dysfunction
vasculitis|C0042384|Disease or Syndrome
primary treatment|C1708063|Therapeutic or Preventive Procedure
arthritis mutilans|C0702102|Disease or Syndrome
thickened|C0205400|Finding
positive rf|C1141900|Finding
cytotoxic drugs|C0304497|Pharmacologic Substance
proton pump inhibitor|C0358591|Pharmacologic Substance
exposure|C0274281|Injury or Poisoning
compliance|C1321605|Individual Behavior
physical function|C0516981|Finding
carpal tunnel syndrome|C0007286|Disease or Syndrome
ccp antibody|C1610653|Laboratory Procedure
skin cancers|C0007114|Neoplastic Process
irritation|C0441723|Phenomenon or Process
flexion contractures|C0333068|Anatomical Abnormality
pulmonary infiltrates|C0235896|Disease or Syndrome
fracture|C0016658|Injury or Poisoning
toe in|C0231791|Finding
fatigue|C0015672|Sign or Symptom
deformities joint|C0427244|Finding
glaucoma|C0017601|Disease or Syndrome
omega 3 fatty acids|C0015689|Biologically Active Substance
salicylates|C0036077|Pharmacologic Substance
infiltrate|C0332448|Pathologic Function
tenderness|C0234233|Sign or Symptom
tobacco|C0040329|Pharmacologic Substance
thinning|C0851184|Sign or Symptom
malaise|C0231218|Sign or Symptom
ankylosing spondylitis|C0038013|Disease or Syndrome
separated|C0086972|Finding
certolizumab|C1872109|Pharmacologic Substance
gram stain|C0061856|Indicator, Reagent, or Diagnostic Aid
bee venom|C0004920|Biologically Active Substance
heart disease|C0018799|Disease or Syndrome
repair|C0374711|Therapeutic or Preventive Procedure
influenza vaccinations|C0260381|Finding
meloxicam|C0083381|Pharmacologic Substance
muscle atrophy|C0026846|Disease or Syndrome
enzymes|C0014442|Organic Chemical
moderate pain|C0278139|Sign or Symptom
test results|C0456984|Finding
metalloproteases|C0025543|Amino Acid, Peptide, or Protein
hot packs|C0181226|Medical Device
rituximab|C0393022|Pharmacologic Substance
small size|C0748864|Finding
blockage|C1706968|Finding
flexion deformity|C0333068|Anatomical Abnormality
unstable joint|C0022410|Finding
cytotoxic|C0677881|Therapeutic or Preventive Procedure
calcium|C0006675|Biologically Active Substance
toxicity|C0600688|Injury or Poisoning
interleukin 1 receptor antagonist|C1704264|Pharmacologic Substance
ct scanning|C0040405|Diagnostic Procedure
diclofenac potassium|C0282131|Pharmacologic Substance
test result|C0456984|Finding
diarrhea|C0011991|Sign or Symptom
fibrin|C0015982|Pharmacologic Substance
massage therapy|C0024875|Therapeutic or Preventive Procedure
increased activity|C0474395|Finding
orthotic devices|C0029365|Medical Device
psoriatic arthritis|C0003872|Disease or Syndrome
palmar fasciitis|C1963740|Disease or Syndrome
fibrinoid necrosis|C0333513|Pathologic Function
weight gain|C0043094|Finding
magnetic resonance|C1551403|Laboratory Procedure
systemic lupus|C0024141|Disease or Syndrome
upper respiratory tract infection|C0041912|Disease or Syndrome
inflammatory disease|C1290884|Disease or Syndrome
rheumatoid factors|C0035448|Amino Acid, Peptide, or Protein
granulocyte macrophage colony stimulating factor|C0079460|Amino Acid, Peptide, or Protein
bone erosion|C0587240|Pathologic Function
inflammatory reaction|C0021368|Pathologic Function
cyclosporin|C0010592|Pharmacologic Substance
arthritis|C0003864|Disease or Syndrome
soft tissue mass|C0457193|Anatomical Abnormality
baker cyst|C0032650|Acquired Abnormality
hodgkin disease|C0019829|Neoplastic Process
control disease|C0920467|Therapeutic or Preventive Procedure
deviation|C1705236|Finding
spleen tyrosine kinase|C0134982|Amino Acid, Peptide, or Protein
necrosis|C1334928|Finding
hla dr4|C0019774|Immunologic Factor
cyst|C0010709|Disease or Syndrome
table|C1706073|Medical Device
increased platelet count|C0836924|Disease or Syndrome
endurance|C0518031|Finding
gi perforation|C0151664|Disease or Syndrome
solid|C1378566|Biomedical or Dental Material
hemochromatosis|C0018995|Disease or Syndrome
sustained remission|C0814128|Finding
weight bearing|C0085086|Finding
deformities|C0000768|Congenital Abnormality
destructive arthritis|C2348101|Disease or Syndrome
biopsy|C0005558|Diagnostic Procedure
guided imagery|C0150627|Therapeutic or Preventive Procedure
liver disease|C0023895|Disease or Syndrome
decrease joint stress|C2064705|Therapeutic or Preventive Procedure
ultrasound|C0041618|Diagnostic Procedure
bone marrow suppression|C0280962|Injury or Poisoning
assistive devices|C0036605|Medical Device
pericardial effusions|C0031039|Disease or Syndrome
keratoderma|C0022579|Congenital Abnormality
janus kinases|C0597721|Amino Acid, Peptide, or Protein
protein antibody|C1445860|Immunologic Factor
joint movement|C1572681|Clinical Drug
recombinant vaccine|C0034862|Pharmacologic Substance
inflammatory disorder|C1290884|Disease or Syndrome
triamcinolone|C0040864|Pharmacologic Substance
thrombocytopenia|C0040034|Disease or Syndrome
fatal|C1705232|Finding
cysts|C0010709|Disease or Syndrome
complication|C0009566|Pathologic Function
bone marrow toxicity|C0948168|Disease or Syndrome
contraindicated|C1444657|Finding
bone marrow edema|C0948162|Disease or Syndrome
limb defects|C0740404|Congenital Abnormality
monoclonal antibody|C0003250|Immunologic Factor
joint deformity|C0427244|Finding
fever|C0015967|Finding
endotracheal intubation|C0021932|Therapeutic or Preventive Procedure
gram staining|C0061856|Indicator, Reagent, or Diagnostic Aid
subcutaneous rheumatoid nodules|C0035450|Pathologic Function
naproxen sodium|C0546873|Pharmacologic Substance
dermatitis|C0011603|Disease or Syndrome
alopecia|C0002170|Finding
radiograph|C1306645|Diagnostic Procedure
plant oils|C0032085|Biologically Active Substance
antiviral prophylaxis|C0877137|Therapeutic or Preventive Procedure
poor prognosis|C0278252|Finding
salivary glands|C0558830|Diagnostic Procedure
hydroxychloroquine|C0020336|Pharmacologic Substance
laboratory studies|C0681827|Laboratory Procedure
gouty arthritis|C0003868|Disease or Syndrome
interleukin 17|C0384648|Amino Acid, Peptide, or Protein
prednisone|C0032952|Pharmacologic Substance
joint pain|C0003862|Sign or Symptom
chloroquine retinopathy|C0730330|Disease or Syndrome
surgical intervention|C0549433|Finding
early morning stiffness|C0856842|Disease or Syndrome
loss of appetite|C0003123|Disease or Syndrome
gold compounds|C0206108|Inorganic Chemical
sjogren syndrome|C1527336|Disease or Syndrome
elevated crp|C0742906|Finding
reproductive risk|C1171172|Finding
decreased sensation|C0020580|Finding
neurologic deficits|C0521654|Finding
gestational hypertension|C0340274|Disease or Syndrome
herpes virus|C1440693|Immunologic Factor
joint ankylosis|C0003090|Disease or Syndrome
placebo|C1696465|Biomedical or Dental Material
diclofenac topical|C0358504|Clinical Drug
corticosteroid therapy|C0149783|Therapeutic or Preventive Procedure
alcohol use|C0001948|Individual Behavior
joint destruction|C0541875|Finding
piroxicam|C0031990|Pharmacologic Substance
adverse effects|C0879626|Pathologic Function
immunosuppressant|C0021081|Pharmacologic Substance
immunosuppressive|C0021081|Pharmacologic Substance
interferon gamma|C0021745|Pharmacologic Substance
numbness|C0020580|Finding
tyrosine|C0041485|Biologically Active Substance
boswellic acid|C0053959|Pharmacologic Substance
prostaglandins|C0033554|Eicosanoid
quadriparesis|C0270790|Disease or Syndrome
leg ulcers|C0023223|Disease or Syndrome
signal|C1710082|Phenomenon or Process
acute phase proteins|C0001347|Biologically Active Substance
supplementation|C0242297|Therapeutic or Preventive Procedure
urticaria|C0042109|Disease or Syndrome
pain worsens|C0853946|Sign or Symptom
methylprednisolone|C0025815|Pharmacologic Substance
subacute bacterial endocarditis|C0014122|Disease or Syndrome
autologous stem cell transplantation|C1831743|Therapeutic or Preventive Procedure
child birth|C0581135|Finding
abnormal esr|C0438217|Finding
felty's syndrome|C0015773|Disease or Syndrome
transformation|C1510411|Pathologic Function
clubbing|C0149651|Sign or Symptom
pannus|C0333350|Finding
anti inflammatory drug|C0003209|Pharmacologic Substance
cyclosporin a|C0010592|Pharmacologic Substance
hypertension|C0020538|Disease or Syndrome
ginger|C0939895|Pharmacologic Substance
pericarditis|C0031046|Disease or Syndrome
neck deformity|C0575167|Finding
smoking|C0037369|Individual Behavior
severe pain|C0278140|Sign or Symptom
rhinitis|C0035455|Disease or Syndrome
tolmetin|C0040377|Pharmacologic Substance
bacterial arthritis|C1692886|Disease or Syndrome
compression|C0565514|Therapeutic or Preventive Procedure
total cholesterol|C1445957|Laboratory Procedure
joint tenderness|C0240094|Sign or Symptom
photosensitivity|C0349506|Finding
d penicillamine|C0030817|Pharmacologic Substance
hand exercises|C0454330|Therapeutic or Preventive Procedure
respiratory disease|C0035204|Disease or Syndrome
chronic inflammatory disorder|C1290886|Disease or Syndrome
aspiration|C0349707|Therapeutic or Preventive Procedure
acute rheumatic fever|C0035436|Disease or Syndrome
normal esr|C0427682|Finding
trust|C0237935|Individual Behavior
palpable purpura|C0151190|Finding
leukemia|C0023418|Neoplastic Process
enlargement|C1293134|Therapeutic or Preventive Procedure
synovial fluid examination|C0200648|Laboratory Procedure
retinal degeneration|C0035304|Disease or Syndrome
anti inflammatory drugs|C0003209|Pharmacologic Substance
stress|C0038435|Finding
mumps rubella|C0694750|Pharmacologic Substance
headache other|C0810269|Disease or Syndrome
analgesic effects|C0948482|Finding
polymyositis|C0085655|Disease or Syndrome
palpitation|C0030252|Finding
pleurisy|C0032231|Disease or Syndrome
viral infections|C0042769|Disease or Syndrome
tissue injury|C2136639|Finding
painful|C0030193|Sign or Symptom
thrombophlebitis|C0040046|Disease or Syndrome
acids|C0001128|Chemical
rheumatoid lung|C0994344|Disease or Syndrome
limit normal|C1265570|Finding
fibrin deposition|C0333565|Pathologic Function
triamcinolone acetonide|C0040866|Pharmacologic Substance
synovitis|C0039103|Disease or Syndrome
influenza vaccine|C0021403|Pharmacologic Substance
visual field testing|C0042825|Diagnostic Procedure
diet light|C0419181|Therapeutic or Preventive Procedure
osteoarthritis arthritis|C0029408|Disease or Syndrome
shortness of breath|C0013404|Sign or Symptom
oral anticoagulants|C0354604|Pharmacologic Substance
spinal cord|C0153646|Neoplastic Process
anakinra|C0245109|Amino Acid, Peptide, or Protein
viral screening|C0419997|Therapeutic or Preventive Procedure
interstitial fibrosis|C0240035|Disease or Syndrome
keratoconjunctivitis sicca|C0022575|Disease or Syndrome
skin manifestations|C0037285|Sign or Symptom
rheumatoid disease|C0003873|Disease or Syndrome
synovial fluid analysis|C0200648|Laboratory Procedure
gastrointestinal toxicity|C1142499|Finding
valve|C1704414|Medical Device
livedo reticularis|C0085642|Disease or Syndrome
intravenous infusions|C0021440|Therapeutic or Preventive Procedure
varicella zoster|C0740380|Disease or Syndrome
type iii hypersensitivity|C0020951|Disease or Syndrome
displacement|C2347509|Phenomenon or Process
connective tissue disease|C0009782|Disease or Syndrome
sepsis|C0243026|Disease or Syndrome
severity of symptoms|C1319166|Finding
physical finding|C0311392|Finding
hardening of the arteries|C0425680|Finding
chronic infections|C0151317|Disease or Syndrome
mmps|C0623362|Amino Acid, Peptide, or Protein
felty syndrome|C0015773|Disease or Syndrome
deep breathing|C1328799|Finding
inflamed joints|C0574941|Finding
range of motion|C0150220|Therapeutic or Preventive Procedure
antagonists drugs|C0521880|Pharmacologic Substance
boutonniere deformities|C0158476|Acquired Abnormality
high resolution|C1719039|Laboratory Procedure
muscle tenderness|C0240419|Sign or Symptom
autoantibodies|C0004358|Immunologic Factor
iv infusion|C0021440|Therapeutic or Preventive Procedure
acute phase reactant|C0001347|Biologically Active Substance
